id	text
1	Castle
2	Walls
3	Tavern
4	Market
5	Casino
6	College
7	Altar
8	Great Hall
9	Workshop
10	Drill Grounds
11	Cellar
12	Sawmill
13	Wishing Well
14	Haunted Mine
15	Quiksilver Extractor
16	Burial Site
17	Corpse Pit
18	Forlorn Palace
19	Shooting Range
20	Crypt
21	Cemetery
22	Trapworks
23	Psychic Eye
24	Dark Sky
25	Sanctuary
26	Ghost Ship
101	Glaurung Den
102	Diamond Mine
401	Installing game resources... {0}%
402	Checking for updates...
403	Version up-to-date.
404	Updating resources...
405	Resources updated!
406	Make sure you have a network connection.
407	{0:F}MB update required. Download now?
408	Update now
409	Please check your connection
410	Logging in...
411	System maintenance in progress
415	The server will restart in 30 mins, please log out before that to prevent data loss.
416	The server will restart in 20 mins, please log out before that to prevent data loss.
417	The server will restart in 10 mins, please log out before that to prevent data loss.
418	The server will restart in 5 mins, please log out before that to prevent data loss.
419	The server will restart in 1 min, please log out before that to prevent data loss.
420	The server will be down for system maintenance in 30 mins, please log out before that to prevent data loss.
421	The server will be down for system maintenance in 20 mins, please log out before that to prevent data loss.
422	The server will be down for system maintenance in 10 mins, please log out before that to prevent data loss.
423	The server will be down for system maintenance in 5 mins, please log out before that to prevent data loss.
424	The server will close for system maintenance in 1 min, please log out before that to prevent data loss.
425	New version available, please download and update the game.
426	New game content and an improved experience are now available! Simply log in to the game again to download the update and get access to great new features!
427	The Yetis have appeared! They're known to horde treasures in their caves, go raid'em!
500	Server is queuing; please try again.
501	Server connection failed!
502	Disconnected from server.
503	Reconnect
504	Your ping is greater than 5000ms. Please wait a few moments.
505	Verification failed.
506	Account not activated.
507	Exit game?
508	Continue
509	Exit
510	Log In
511	That cannot be discarded.
514	Requires Hero Lv. {0}.
515	Reconnect
516	Account is locked
517	There's no more space for new cities
701	Simplified Chinese
702	繁體中文
703	Русский
704	English
705	Arabic
706	Deutsch
707	Français
708	Português
709	Español
710	Türkçe
711	Indonesia
712	Italiano
713	Nederlandse
714	Polska
715	ไทย
716	日本語
717	한국어
800	N/A
801	AL
802	AM
803	AO
804	AR
805	AT
806	AU
807	AZ
808	BD
809	BE
810	BH
811	BR
812	BY
813	CA
814	CH
815	CL
816	CN
817	CZ
818	DE
819	DK
820	DZ
821	EC
822	EE
823	EG
824	ES
825	FI
826	FR
827	GB
828	GR
829	HR
830	HU
831	ID
832	IE
833	IL
834	IN
835	IQ
836	IR
837	IT
838	JO
839	JP
840	KH
841	KR
842	KW
843	KZ
844	LA
845	LB
846	LI
847	LT
848	LU
849	LV
850	MA
851	MK
852	MN
853	MX
854	MY
855	NG
856	NL
857	NO
858	NZ
859	PA
860	PH
861	PK
862	PL
863	PT
864	RO
865	RU
866	SA
867	SE
868	SG
869	SI
870	SK
871	SY
872	TH
873	TN
874	TR
875	UA
876	US
877	UZ
878	VE
879	VN
880	YE
881	ZA
882	BG
883	AE
884	CO
885	RS
886	HK
887	TW
1000	之前预留不许加
1001	Build
1002	Map
1003	Events
1004	Mail
1005	Quests
1006	Achievements
1007	Heroes
1008	Pause
1009	Continue
1010	Exit
1011	Level
1012	Info
1013	Upgrade
1014	Finish Now
1015	Tech
1016	Demolish
1017	Research
1018	Research Now
1019	Skills
1020	Summon
1021	Necromancy
1022	Hex
1023	Reset
1024	Study
1025	Confirm to reset Skill Points?
1026	Details
1027	Dark Sky
1028	Change Image
1029	Upload Avatar
1030	Frost Glaurung
1031	Specter
1032	Specters spawned: 
1033	僵尸
1034	骷髅弓手
1035	死亡骑士
1036	石像鬼
1037	亡灵法师
1038	Return
1039	ATK
1040	Scout
1041	Relocate
1042	Occupy
1043	Enter
1044	Troops Aid
1045	Resources Aid
1046	Details
1047	Troop Details
1048	Outside
1049	Self
1050	Backpack
1051	Items
1052	Materials
1053	Equipment
1054	Gems
1055	Use
1056	Amount
1057	Skip
1058	System Announcement
1059	Forge
1060	Alliance
1061	Check-in
1062	Pray
1063	Daily Activity
1064	Reinforcements
1065	Alliance Insignia
1066	Effects
1067	{0}
1068	Uther's Counter
1069	Fight
1070	Translation
1071	Original
1072	Cancel
1073	Build Now
1074	Upgrade Now
1076	Use Hurry item
1077	You'll only get 50% resources back if you cancel
1078	Details
1079	Backpack
1080	Hurry
1081	Summon
1082	Summon Now
1083	Restraint
1084	Dismiss
1085	Return
1086	Building
1087	Upgrading
1088	Summoning
1089	Can build
1090	Requirement
1091	Max level troops cannot be upgraded!
1092	Free
1093	You won't get resources back if you cancel summoning!
1094	Find
1095	Alliance name...
1096	Leader
1097	Show more...
1098	Create Alliance
1099	Create Alliance
1100	Alliance name
1101	Alliance Announcement
1102	Enter 3-16 chars (Letters and numbers)
1104	You aren't in that Alliance anymore!
1105	Apply
1106	Join
1107	Castle Lv.
1108	Battle Rating
1109	Messages
1110	Contact Leader
1111	Members
1112	Alliance War
1113	Alliance Territory
1114	Tech & Tribute
1115	Shop
1116	Aid
1117	All Mail
1118	Members
1119	Manage
1120	Info
1121	Rank 1 Member
1122	Rank 2 Member
1123	Rank 3 Member
1124	Rank 4 Member
1125	Rank 5 Member
1126	Agree
1127	Reject
1128	Resources Aid
1129	Troops Aid
1130	Backpack
1131	Overthrow
1132	Kick
1133	Resign
1134	Promote
1135	Dismiss
1136	Settings
1137	Flag
1138	All Alliances
1139	Alliance Details
1140	Donation Rankings
1141	Unblock
1142	Disband
1143	Leave
1144	Announcement
1145	Recruitment Criteria
1146	Alliance Name
1147	Alliance Abbreviation
1148	Language
1149	Rank Titles
1150	Edit Castle Name
1151	Edit
1152	Submit
1153	Activate
1154	Close
1155	When open recruitment is active, all Lords may join your Alliance without applying.
1156	Set requirements
1157	Castle Lv. ≥
1158	Battle Rating ≥
1159	Enter new name
1160	Enter new nickname
1161	Enter 3-10 chars (Letters, numbers and spaces)
1162	This shows all players the main language used in the Alliance.
1163	Old
1164	New
1165	Help All
1166	Player Name
1167	No Alliances found!
1168	No players found!
1169	Researching
1170	Enter 3 chars (Letters and numbers)
1171	Reduces
1172	Corpse
1173	Respawn
1174	All
1175	Nothing to Respawn!
