id	text
1	宝物预留
100	宝物预留
101	Hurry All: 5 Mins
102	Hurry All: 1 Hour
103	Summon Hurry: 5 Mins
104	Summon Hurry: 2 Hours
105	Collection Bonus
106	Collection Bonus+
107	March Hurry
108	March Hurry+
109	Troop Recall
110	Troop Recall+
111	Anti-Scout
112	Anti-Scout+
113	Random Relocation
114	Pinpoint Relocation
115	Balens Bonus
116	Balens Bonus+
117	Balens Bonus++
118	Wood Bonus
119	Wood Bonus+
120	Wood Bonus++
121	Iron Bonus
122	Iron Bonus+
123	Iron Bonus++
124	Quiksilver Bonus
125	Quiksilver Bonus+
126	Quiksilver Bonus++
127	100 Wood
128	1,000 Wood
129	4,000 Wood
130	10K Wood
131	30K Wood
132	50K Wood
133	150K Wood
134	500K Wood
135	1.5M Wood
136	5M Wood
137	100 Balens
138	1,000 Balens
139	4,000 Balens
140	10K Balens
141	30K Balens
142	50K Balens
143	150K Balens
144	500K Balens
145	1.5M Balens
146	5M Balens
147	80 Iron
148	500 Iron
149	2,000 Iron
150	5,000 Iron
151	15K Iron
152	25K Iron
153	75K Iron
154	250K Iron
155	750K Iron
156	2.5M Iron
157	40 Quiksilver
158	250 Quiksilver
159	1,000 Quiksilver
160	2,500 Quiksilver
161	7,500 Quiksilver
162	12K Quiksilver
163	35K Quiksilver
164	100K Quiksilver
165	350K Quiksilver
166	1.0M Quiksilver
167	GM Pack
168	Resource Pack
169	Flash Pack
170	Equipment Pack
171	Starter Pack
172	Starter Pack
173	Starter Pack
174	Starter Pack
175	Starter Pack
176	Starter Pack
177	Starter Pack
178	Starter Pack
179	Starter Pack
180	Starter Pack
181	Starter Pack
182	Starter Pack
183	Starter Pack
184	Starter Pack
185	Starter Pack
186	Starter Pack
187	Starter Pack
188	Starter Pack
189	Starter Pack
190	Starter Pack
191	10 MP
192	30 MP
193	50 MP
194	1,000 Lord EXP
195	5,000 Lord EXP
196	10K Lord EXP
197	20K Lord EXP
198	50K Lord EXP
199	Lv. 1 Troop Rally
200	Lv. 2 Troop Rally
201	War Guard: 1 Hour
202	War Guard: 8 Hours
203	War Guard: 24 Hours
204	War Guard: 3 Days
205	War Guard: 7 Days
206	ATK Bonus (+10%)
207	ATK Bonus (+15%)
208	DEF Bonus (+10%)
209	DEF Bonus (+15%)
210	Cost Reducer
211	Cost Reducer+
212	Cost Reducer++
213	Cost Reducer+++
214	Camouflage
