id	text
1	Build Lv. 1 Wishing Well x2
2	Build Lv. 1 Sawmill x2
3	Upgrade Corpse Pit to Lv. 1
4	Upgrade Castle to Lv. 2
5	Build a Great Hall
6	Build Lv. 2 Sawmill x2
7	Build Lv. 2 Wishing Well x2
8	Upgrade Psychic Eye to Lv. 2
9	Upgrade Altar to Lv. 2
10	Upgrade Corpse Pit to Lv. 2
11	Upgrade Walls to Lv. 2
12	Upgrade Castle to Lv. 3
13	Build a College
14	Research Hatchet I
15	Upgrade Sawmill to Lv. 3
16	Upgrade Wishing Well to Lv. 3
17	Upgrade Cellar to Lv. 3
18	Upgrade College to Lv. 2
19	Upgrade Walls to Lv. 3
20	Upgrade Castle to Lv. 4
21	Complete a mission
22	Upgrade Corpse Pit to Lv. 4
23	Summon 50 Zombies
24	Upgrade College to Lv. 3
25	Research Summon Rituals I
26	Upgrade Sawmill to Lv. 4
27	Upgrade Wishing Well to Lv. 4
28	Upgrade Great Hall to Lv. 3
29	Upgrade Walls to Lv. 4
30	Upgrade Castle to Lv. 5
31	Build a Drill Grounds
32	Upgrade Burial Site to Lv. 3
33	Upgrade Sawmill to Lv. 5
34	Upgrade Wishing Well to Lv. 5
35	Upgrade Cellar to Lv. 5
36	Fight in the Void Wars and control a Void Sector
37	Upgrade Walls to Lv. 5
38	Upgrade Castle to Lv. 6
39	Build a Shooting Range
40	Upgrade Shooting Range to Lv. 4
41	Upgrade Sawmill to Lv. 6
42	Upgrade Wishing Well to Lv. 6
43	Upgrade Cellar to Lv. 6
44	Upgrade Corpse Pit to Lv. 5
45	Upgrade Drill Grounds to Lv. 5
46	Upgrade Great Hall to Lv. 5
47	Upgrade Burial Site to Lv. 6
48	Upgrade Walls to Lv. 6
49	Upgrade Castle to Lv. 7
50	Build a Workshop
51	Upgrade Altar to Lv. 5
52	Upgrade Wishing Well to Lv. 7
53	Upgrade Cellar to Lv. 7
54	Upgrade Corpse Pit to Lv. 7
55	Upgrade Shooting Range to Lv. 7
56	Upgrade Drill Grounds to Lv. 7
57	Upgrade Great Hall to Lv. 7
58	Upgrade Burial Site to Lv. 7
59	Upgrade Walls to Lv. 7
60	Upgrade Castle to Lv. 8
61	Build a College
62	Upgrade College to Lv. 8
63	Upgrade Sawmill to Lv. 8
64	Upgrade Wishing Well to Lv. 8
65	Upgrade Cellar to Lv. 8
66	Upgrade Corpse Pit to Lv. 8
67	Upgrade Shooting Range to Lv. 8
68	Upgrade Drill Grounds to Lv. 8
69	Upgrade Great Hall to Lv. 8
70	Upgrade Burial Site to Lv. 8
71	Upgrade Altar to Lv. 8
72	Upgrade Walls to Lv. 8
73	Upgrade Castle to Lv. 9
74	Build a Forlorn Palace
75	Upgrade Forlorn Palace to Lv. 9
76	Upgrade Sawmill to Lv. 9
77	Upgrade Wishing Well to Lv. 9
78	Upgrade Cellar to Lv. 9
79	Upgrade Corpse Pit to Lv. 9
80	Upgrade Shooting Range to Lv. 9
81	Upgrade Drill Grounds to Lv. 9
82	Upgrade College to Lv. 9
83	Upgrade Great Hall to Lv. 9
84	Upgrade Burial Site to Lv. 9
85	Upgrade Altar to Lv. 9
86	Upgrade Walls to Lv. 9
87	Upgrade Castle to Lv. 10
88	Build a Haunted Mine
89	Upgrade Haunted Mine to Lv. 10
90	Upgrade Sawmill to Lv. 10
91	Upgrade Wishing Well to Lv. 10
92	Upgrade Cellar to Lv. 10
93	Upgrade Corpse Pit to Lv. 10
94	Upgrade Shooting Range to Lv. 10
95	Upgrade Forlorn Palace to Lv. 10
96	Upgrade Drill Grounds to Lv. 10
