countryCode	CountryID	CountryNameID	CountryFlag	CountryMoney	Desc
ae	784	883	CountryFlag_AE	USD	阿联酋
al	8	801	CountryFlag_AL	USD	阿尔巴尼亚
am	51	802	CountryFlag_AM	USD	亚美尼亚
ao	24	803	CountryFlag_AO	USD	安哥拉
ar	32	804	CountryFlag_AR	USD	阿根廷
at	40	805	CountryFlag_AT	USD	奥地利
au	36	806	CountryFlag_AU	USD	澳大利亚
az	31	807	CountryFlag_AZ	USD	阿塞拜疆
bd	50	808	CountryFlag_BD	USD	孟加拉
be	56	809	CountryFlag_BE	USD	比利时
bg	100	882	CountryFlag_BG	USD	保加利亚
bh	48	810	CountryFlag_BH	USD	巴林
br	76	811	CountryFlag_BR	USD	巴西
by	112	812	CountryFlag_BY	USD	白俄罗斯
ca	124	813	CountryFlag_CA	USD	加拿大
ch	756	814	CountryFlag_CH	USD	瑞士
cl	152	815	CountryFlag_CL	USD	智利
cn	156	816	CountryFlag_CN	USD	中国
co	170	884	CountryFlag_CO	USD	哥伦比亚
cz	203	817	CountryFlag_CZ	USD	捷克
de	276	818	CountryFlag_DE	USD	德国
dk	208	819	CountryFlag_DK	USD	丹麦
dz	12	820	CountryFlag_DZ	USD	阿尔及利亚
ec	218	821	CountryFlag_EC	USD	厄瓜多尔
ee	233	822	CountryFlag_EE	USD	爱沙尼亚
eg	818	823	CountryFlag_EG	USD	埃及
es	724	824	CountryFlag_ES	USD	西班牙
fi	246	825	CountryFlag_FI	USD	芬兰
fr	250	826	CountryFlag_FR	USD	法国
gb	826	827	CountryFlag_GB	USD	英国
gr	300	828	CountryFlag_GR	USD	希腊
hk	344	886	CountryFlag_HK	USD	香港
hr	191	829	CountryFlag_HR	USD	克罗地亚
hu	348	830	CountryFlag_HU	USD	匈牙利
id	360	831	CountryFlag_ID	USD	印尼
ie	372	832	CountryFlag_IE	USD	爱尔兰
il	376	833	CountryFlag_IL	USD	以色列
in	356	834	CountryFlag_IN	USD	印度
iq	368	835	CountryFlag_IQ	USD	伊拉克
ir	364	836	CountryFlag_IR	USD	伊朗
it	380	837	CountryFlag_IT	USD	意大利
jo	400	838	CountryFlag_JO	USD	约旦
jp	392	839	CountryFlag_JP	USD	日本
kh	116	840	CountryFlag_KH	USD	柬埔寨
kr	410	841	CountryFlag_KR	USD	韩国 南朝鲜
kw	414	842	CountryFlag_KW	USD	科威特
kz	398	843	CountryFlag_KZ	USD	哈萨克斯坦
la	418	844	CountryFlag_LA	USD	老挝
lb	422	845	CountryFlag_LB	USD	黎巴嫩
li	438	846	CountryFlag_LI	USD	列支敦士登
lt	440	847	CountryFlag_LT	USD	立陶宛
lu	442	848	CountryFlag_LU	USD	卢森堡
lv	428	849	CountryFlag_LV	USD	拉脱维亚
ma	504	850	CountryFlag_MA	USD	摩洛哥
mk	807	851	CountryFlag_MK	USD	马其顿
mn	496	852	CountryFlag_MN	USD	蒙古国 蒙古
mx	484	853	CountryFlag_MX	USD	墨西哥
my	458	854	CountryFlag_MY	USD	马来
ng	566	855	CountryFlag_NG	USD	尼日利亚
nl	528	856	CountryFlag_NL	USD	荷兰
no	578	857	CountryFlag_NO	USD	挪威
nz	554	858	CountryFlag_NZ	USD	新西兰
pa	591	859	CountryFlag_PA	USD	巴拿马
ph	608	860	CountryFlag_PH	USD	菲律宾
pk	586	861	CountryFlag_PK	USD	巴基斯坦
pl	616	862	CountryFlag_PL	USD	波兰
pt	620	863	CountryFlag_PT	USD	葡萄牙
ro	642	864	CountryFlag_RO	USD	罗马尼亚
ru	643	865	CountryFlag_RU	USD	俄罗斯
rs	688	885	CountryFlag_RS	USD	塞尔维亚
sa	682	866	CountryFlag_SA	USD	沙特阿拉伯
se	752	867	CountryFlag_SE	USD	瑞典
sg	702	868	CountryFlag_SG	USD	新加坡
si	705	869	CountryFlag_SI	USD	斯洛文尼亚
sk	703	870	CountryFlag_SK	USD	斯洛伐克
sy	760	871	CountryFlag_SY	USD	叙利亚
th	764	872	CountryFlag_TH	USD	泰国
tn	788	873	CountryFlag_TN	USD	突尼斯
tr	792	874	CountryFlag_TR	USD	土耳其
tw	158	887	CountryFlag_TW	USD	台湾
ua	804	875	CountryFlag_UA	USD	乌克兰
us	840	876	CountryFlag_US	USD	美国
uz	860	877	CountryFlag_UZ	USD	乌兹别克斯坦
ve	862	878	CountryFlag_VE	USD	委内瑞拉
vn	704	879	CountryFlag_VN	USD	越南
ye	887	880	CountryFlag_YE	USD	也门
za	710	881	CountryFlag_ZA	USD	南非
