资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
CharacterDefault	PackAssets/DefaultPrefab/CharacterDefault	defaultprefab	CharacterDefault
MainCityScence	PackAssets/MainCityPrefab/MainCityScence	maincityscenceprefab	MainCityScence
FightScence	PackAssets/FightPrefab/FightScence	fightscenceprefab	FightScence
hero_brute_dragon	PackAssets/DragonBonesRes/hero_brute_dragon/hero_brute_dragon	ab_hero_brute_dragon	hero_brute_dragon
hero_centaur	PackAssets/DragonBonesRes/hero_centaur/hero_centaur	ab_hero_centaur	hero_centaur
hero_faith_healer	PackAssets/DragonBonesRes/hero_faith_healer/hero_faith_healer	ab_hero_faith_healer	hero_faith_healer
hero_orc_monk	PackAssets/DragonBonesRes/hero_orc_monk/hero_orc_monk	ab_hero_orc_monk	hero_orc_monk
hero_pirate	PackAssets/DragonBonesRes/hero_pirate/hero_pirate	ab_hero_pirate	hero_pirate
hero_polemaster	PackAssets/DragonBonesRes/hero_polemaster/hero_polemaster	ab_hero_polemaster	hero_polemaster
hero_shadow_assassin	PackAssets/DragonBonesRes/hero_shadow_assassin/hero_shadow_assassin	ab_hero_shadow_assassin	hero_shadow_assassin
bosspit_flag	PackAssets/DragonBonesRes/bosspit_flag/bosspit_flag	ab_bosspit_flag	bosspit_flag
MainDlg	PackAssets/UIPrefab/MainDlg	uiprefab	MainDlg
FightDlg	PackAssets/UIPrefab/FightDlg	uiprefab	FightDlg
FightRoomInfoDlg	PackAssets/UIPrefab/FightRoomInfoDlg	uiprefab	FightRoomInfoDlg
FightRoomSetHeroDlg	PackAssets/UIPrefab/FightRoomSetHeroDlg	uiprefab	FightRoomSetHeroDlg
UIU_Damage	PackAssets/UIPrefab/UIUnit/UIU_Damage	uiprefab	UIU_Damage
UIU_HPProgress	PackAssets/UIPrefab/UIUnit/UIU_HPProgress	uiprefab	UIU_HPProgress
